"transaction_id","client_id","role_type"
187,2,"Tenant"
188,7,"Landlord"
189,10,"Landlord"
190,11,"Landlord"
190,7,"Tenant"
190,17,"Tenant"
191,10,"Buyer"
191,17,"Seller"
192,19,"Landlord"
192,15,"Tenant"
193,7,"Buyer"
193,4,"Buyer"
193,12,"Seller"
194,13,"Landlord"
194,20,"Tenant"
195,13,"Landlord"
195,3,"Tenant"
195,16,"Tenant"
196,8,"Buyer"
196,19,"Seller"
197,10,"Buyer"
197,12,"Buyer"
197,14,"Seller"
198,10,"Landlord"
198,17,"Tenant"
199,1,"Buyer"
199,4,"Seller"
200,9,"Buyer"
200,13,"Seller"
201,18,"Landlord"
202,4,"Landlord"
202,13,"Tenant"
203,17,"Buyer"
203,8,"Buyer"
203,1,"Seller"
204,20,"Landlord"
204,16,"Tenant"
204,8,"Tenant"
205,14,"Buyer"
205,1,"Seller"
206,11,"Landlord"
206,9,"Tenant"
207,13,"Landlord"
207,5,"Tenant"
208,19,"Landlord"
208,3,"Tenant"
209,5,"Buyer"
209,10,"Seller"
210,2,"Landlord"
210,12,"Tenant"
211,6,"Buyer"
211,17,"Seller"
212,20,"Buyer"
212,13,"Seller"
213,16,"Landlord"
213,19,"Tenant"
214,14,"Landlord"
214,12,"Tenant"
214,9,"Tenant"
215,8,"Landlord"
215,1,"Tenant"
216,19,"Landlord"
216,12,"Tenant"
216,14,"Tenant"
217,17,"Landlord"
218,13,"Buyer"
218,10,"Seller"
219,13,"Landlord"
219,17,"Tenant"
219,9,"Tenant"
220,9,"Landlord"
220,19,"Tenant"
220,5,"Tenant"
221,19,"Landlord"
221,5,"Tenant"
222,12,"Buyer"
222,4,"Seller"
223,20,"Landlord"
223,16,"Tenant"
224,1,"Buyer"
224,7,"Buyer"
224,12,"Seller"
225,14,"Landlord"
225,8,"Tenant"
226,17,"Seller"
227,2,"Landlord"
227,8,"Tenant"
227,3,"Tenant"
228,19,"Landlord"
228,18,"Tenant"
