"transaction_id","listing_id","transaction_type","transaction_status","contract_date","closing_date","final_price","notes"
124,124,"Rent","Completed","2021-07-06","2021-07-16","4928.97","T-NY-2021-0165"
125,125,"Rent","Completed","2021-07-10","2021-07-17","2624.82","T-CT-2021-0172"
126,126,"Sale","Completed","2021-07-11","2021-09-02","880069.51","T-CT-2021-0048"
127,127,"Sale","Completed","2021-07-20","2021-09-08","571477.31","T-NJ-2021-0063"
128,128,"Rent","Pending","2021-07-27",NULL,NULL,"T-NY-2021-0169"
129,129,"Sale","Cancelled","2021-08-11",NULL,NULL,"T-NJ-2021-0052"
130,130,"Rent","Cancelled","2021-08-27",NULL,NULL,"T-CT-2021-0155"
131,131,"Rent","Completed","2021-08-30","2021-09-11","4789.87","T-CT-2021-0171"
132,132,"Sale","Completed","2021-09-02","2021-10-06","1127053.22","T-CT-2021-0066"
133,133,"Rent","Completed","2021-09-21","2021-10-01","4719.37","T-CT-2021-0170"
134,134,"Sale","Completed","2021-09-25","2021-11-17","886039.02","T-CT-2021-0047"
135,135,"Sale","Completed","2021-09-28","2021-10-29","1154246.75","T-CT-2021-0049"
136,136,"Rent","Completed","2021-10-02","2021-10-07","2607.32","T-NJ-2021-0168"
137,137,"Rent","Completed","2021-10-18","2021-11-07","4750.03","T-CT-2021-0174"
138,138,"Rent","Completed","2021-10-31","2021-11-14","3904.97","T-CT-2021-0162"
139,139,"Rent","Completed","2021-11-03","2021-11-21","4376.54","T-CT-2021-0167"
140,140,"Sale","Completed","2021-11-04","2021-11-26","1129020.12","T-CT-2021-0057"
141,141,"Sale","Completed","2021-11-16","2021-12-31","1117858.85","T-NJ-2021-0055"
142,142,"Rent","Pending","2021-11-21",NULL,NULL,"T-NJ-2021-0157"
143,143,"Sale","Pending","2021-11-25",NULL,NULL,"T-NJ-2021-0059"
144,144,"Sale","Completed","2021-11-25","2021-12-31","784378.90","T-NJ-2021-0065"
145,145,"Rent","Completed","2022-01-23","2022-02-10","4367.86","T-NY-2022-0199"
146,146,"Rent","Completed","2022-02-01","2022-02-07","3669.86","T-CT-2022-0184"
147,147,"Sale","Completed","2022-02-04","2022-02-21","841409.39","T-CT-2022-0071"
148,148,"Rent","Completed","2022-02-06","2022-02-25","4852.37","T-CT-2022-0176"
149,149,"Rent","Completed","2022-02-07","2022-02-19","5072.77","T-CT-2022-0201"
150,150,"Rent","Completed","2022-02-09","2022-02-14","3629.00","T-NJ-2022-0191"
151,151,"Rent","Completed","2022-02-20","2022-03-11","2792.12","T-NJ-2022-0193"
152,152,"Rent","Completed","2022-03-06","2022-03-12","5554.52","T-NY-2022-0200"
153,153,"Rent","Completed","2022-03-19","2022-04-01","4325.57","T-NJ-2022-0197"
154,154,"Sale","Completed","2022-03-24","2022-05-07","1604934.48","T-NY-2022-0070"
155,155,"Rent","Cancelled","2022-04-05",NULL,NULL,"T-CT-2022-0178"
156,156,"Rent","Pending","2022-04-08",NULL,NULL,"T-CT-2022-0194"
157,157,"Sale","Completed","2022-04-09","2022-04-24","1201895.53","T-CT-2022-0072"
158,158,"Rent","Completed","2022-04-14","2022-04-21","3859.44","T-CT-2022-0192"
159,159,"Rent","Completed","2022-04-14","2022-04-25","4003.53","T-NJ-2022-0177"
160,160,"Rent","Completed","2022-04-14","2022-04-29","6420.31","T-NY-2022-0190"
161,161,"Rent","Completed","2022-04-17","2022-04-26","4727.32","T-CT-2022-0198"
162,162,"Sale","Completed","2022-04-19","2022-06-02","578321.24","T-CT-2022-0079"
163,163,"Rent","Completed","2022-04-20","2022-05-07","4703.10","T-CT-2022-0202"
164,164,"Sale","Completed","2022-04-21","2022-05-16","761407.22","T-NJ-2022-0081"
165,165,"Sale","Completed","2022-04-22","2022-05-11","927765.10","T-CT-2022-0080"
166,166,"Rent","Completed","2022-04-28","2022-05-06","5038.42","T-NY-2022-0179"
167,167,"Rent","Completed","2022-05-03","2022-05-09","3697.78","T-NJ-2022-0186"
168,168,"Sale","Pending","2022-05-14",NULL,NULL,"T-NY-2022-0078"
169,169,"Sale","Pending","2022-05-25",NULL,NULL,"T-NJ-2022-0073"
170,170,"Sale","Cancelled","2022-06-19",NULL,NULL,"T-NY-2022-0077"
171,171,"Sale","Completed","2022-07-08","2022-07-24","1208374.02","T-CT-2022-0068"
172,172,"Sale","Pending","2022-07-21",NULL,NULL,"T-NY-2022-0069"
173,173,"Rent","Completed","2022-08-05","2022-08-23","4852.93","T-CT-2022-0185"
174,174,"Sale","Completed","2022-08-10","2022-10-07","712796.85","T-NJ-2022-0075"
175,175,"Sale","Completed","2022-08-12","2022-10-05","671944.95","T-NJ-2022-0076"
176,176,"Rent","Completed","2022-08-13","2022-08-30","5390.83","T-NY-2022-0196"
177,177,"Rent","Completed","2022-08-22","2022-09-09","7052.27","T-NY-2022-0187"
178,178,"Sale","Completed","2022-09-17","2022-11-13","1542131.09","T-NY-2022-0067"
179,179,"Rent","Completed","2022-09-23","2022-10-09","4810.87","T-CT-2022-0181"
180,180,"Rent","Completed","2022-09-29","2022-10-18","4371.60","T-NJ-2022-0195"
181,181,"Rent","Completed","2022-10-01","2022-10-06","3542.85","T-NJ-2022-0182"
182,182,"Rent","Completed","2022-10-10","2022-10-19","3526.35","T-NJ-2022-0183"
183,183,"Rent","Pending","2022-10-19",NULL,NULL,"T-NJ-2022-0175"
184,184,"Rent","Completed","2022-10-25","2022-10-31","5635.45","T-NY-2022-0188"
185,185,"Sale","Cancelled","2022-11-15",NULL,NULL,"T-NJ-2022-0074"
186,186,"Rent","Completed","2022-11-17","2022-11-30","6530.24","T-NY-2022-0180"
187,187,"Rent","Completed","2022-11-19","2022-11-30","3610.56","T-NJ-2022-0189"
188,188,"Rent","Cancelled","2023-02-02",NULL,NULL,"T-NJ-2023-0227"
189,189,"Rent","Cancelled","2023-02-09",NULL,NULL,"T-NJ-2023-0215"
190,190,"Rent","Completed","2023-02-11","2023-02-16","5439.52","T-NY-2023-0219"
191,191,"Sale","Completed","2023-02-16","2023-03-22","1146937.04","T-NY-2023-0084"
192,192,"Rent","Completed","2023-02-23","2023-03-13","4479.06","T-CT-2023-0223"
193,193,"Sale","Completed","2023-03-12","2023-04-11","773124.27","T-NJ-2023-0092"
194,194,"Rent","Completed","2023-03-14","2023-03-30","6818.02","T-NY-2023-0228"
195,195,"Rent","Pending","2023-03-22",NULL,NULL,"T-NY-2023-0212"
196,196,"Sale","Completed","2023-04-01","2023-05-26","895382.77","T-CT-2023-0095"
197,197,"Sale","Completed","2023-04-07","2023-05-19","506387.88","T-NJ-2023-0088"
198,198,"Rent","Cancelled","2023-04-09",NULL,NULL,"T-CT-2023-0221"
199,199,"Sale","Completed","2023-04-12","2023-06-06","901061.76","T-CT-2023-0094"
200,200,"Sale","Pending","2023-04-18",NULL,NULL,"T-NY-2023-0087"
201,201,"Rent","Cancelled","2023-04-19",NULL,NULL,"T-NJ-2023-0218"
202,202,"Rent","Completed","2023-04-29","2023-05-08","3609.11","T-NJ-2023-0207"
203,203,"Sale","Completed","2023-05-15","2023-07-08","1210089.72","T-NY-2023-0082"
204,204,"Rent","Completed","2023-06-05","2023-06-24","5345.03","T-CT-2023-0213"
205,205,"Sale","Completed","2023-06-09","2023-08-06","834464.14","T-NJ-2023-0089"
206,206,"Rent","Completed","2023-06-15","2023-06-24","5159.19","T-NY-2023-0210"
207,207,"Rent","Completed","2023-06-27","2023-07-16","4098.98","T-NY-2023-0226"
208,208,"Rent","Completed","2023-08-17","2023-08-31","4889.39","T-NJ-2023-0216"
209,209,"Sale","Completed","2023-08-18","2023-09-26","867603.63","T-NY-2023-0090"
210,210,"Rent","Completed","2023-08-18","2023-08-25","5952.87","T-NY-2023-0211"
211,211,"Sale","Completed","2023-08-20","2023-09-24","560951.03","T-NJ-2023-0083"
212,212,"Sale","Completed","2023-08-25","2023-10-06","820857.70","T-CT-2023-0086"
213,213,"Rent","Completed","2023-08-26","2023-09-13","3767.81","T-CT-2023-0209"
214,214,"Rent","Pending","2023-09-20",NULL,NULL,"T-NY-2023-0204"
215,215,"Rent","Completed","2023-09-24","2023-10-05","3604.08","T-NJ-2023-0217"
216,216,"Rent","Completed","2023-09-27","2023-10-07","3639.53","T-NJ-2023-0206"
217,217,"Rent","Cancelled","2023-09-29",NULL,NULL,"T-NJ-2023-0225"
218,218,"Sale","Completed","2023-10-02","2023-10-21","1141580.16","T-NY-2023-0093"
219,219,"Rent","Completed","2023-10-12","2023-10-23","4491.42","T-CT-2023-0220"
220,220,"Rent","Completed","2023-10-12","2023-10-27","5413.29","T-NY-2023-0205"
221,221,"Rent","Completed","2023-10-19","2023-11-07","4110.10","T-NY-2023-0208"
222,222,"Sale","Completed","2023-10-27","2023-11-11","741223.19","T-CT-2023-0096"
223,223,"Rent","Pending","2023-10-31",NULL,NULL,"T-NY-2023-0224"
224,224,"Sale","Completed","2023-11-05","2023-11-23","922332.12","T-NY-2023-0085"
225,225,"Rent","Completed","2023-11-07","2023-11-25","4661.96","T-NJ-2023-0203"
226,226,"Sale","Cancelled","2023-11-08",NULL,NULL,"T-NY-2023-0091"
227,227,"Rent","Completed","2023-11-20","2023-11-25","4471.72","T-NJ-2023-0222"
228,228,"Rent","Completed","2023-11-22","2023-11-28","5031.96","T-CT-2023-0214"
